,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
30,Kent Bazemore,SF,30,POR,20,2,449,48,145,.331,22,68,.324,26,77,.338,.407,28,36,.778,8,78,86,37,18,14,29,59,146
31,Darius Bazley,PF,19,OKC,18,0,310,31,70,.443,14,36,.389,17,34,.500,.543,8,14,.571,7,58,65,10,6,9,14,17,84
32,Bradley Beal,SG,26,WAS,17,17,623,170,360,.472,49,140,.350,121,220,.550,.540,92,111,.829,16,57,73,121,17,4,55,44,481
33,Malik Beasley,SG,23,DEN,13,0,203,31,78,.397,18,38,.474,13,40,.325,.513,5,5,1.000,4,15,19,15,8,2,15,17,85
34,Marco Belinelli,SG,33,SAS,19,0,306,34,117,.291,17,58,.293,17,59,.288,.363,12,18,.667,1,31,32,30,5,0,9,14,97
35,Jordan Bell,C,25,MIN,9,0,74,11,19,.579,0,3,.000,11,16,.688,.579,7,11,.636,9,23,32,6,0,3,12,6,29
36,DeAndre' Bembry,SG,25,ATL,20,2,518,66,128,.516,8,28,.286,58,100,.580,.547,18,37,.486,20,71,91,57,30,8,33,46,158
37,Dragan Bender,SF,22,MIL,2,0,16,5,7,.714,2,4,.500,3,3,1.000,.857,0,0,,0,1,1,2,0,1,1,5,12
38,Dāvis Bertāns,PF,27,WAS,17,0,468,72,160,.450,56,127,.441,16,33,.485,.625,18,21,.857,12,64,76,31,9,8,12,44,218
39,Patrick Beverley,PG,31,LAC,18,18,542,50,137,.365,22,81,.272,28,56,.500,.445,13,21,.619,24,90,114,60,25,12,28,69,135
40,Khem Birch,C,27,ORL,9,4,172,15,29,.517,0,1,.000,15,28,.536,.517,8,17,.471,12,29,41,2,3,4,5,23,38
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Goga Bitadze,C,20,IND,14,2,198,26,55,.473,4,12,.333,22,43,.512,.509,14,19,.737,16,34,50,14,1,18,9,30,70
43,Bismack Biyombo,C,27,CHO,19,4,308,58,97,.598,0,0,,58,97,.598,.598,33,60,.550,29,47,76,16,6,14,13,37,149
44,Nemanja Bjelica,PF,31,SAC,18,17,468,70,151,.464,30,72,.417,40,79,.506,.563,12,13,.923,35,85,120,45,16,8,30,53,182
